*******************************************************************************
Revised: Jul 31, 2013                  Earth                                399
 
PHYSICAL PROPERTIES (revised Sep 18, 2013):
 Mean radius, km          = 6371.01+-0.01   Mass, 10^24 kg = 5.97219+-0.0006
 Equ. radius, km          = 6378.14+-0.01   Mass layers:
 Polar axis, km           = 6356.752          Atmos          = 5.1   x 10^18 kg
 Flattening               = 1/298.257         oceans         = 1.4   x 10^21 kg
 Density, gm cm^-3        = 5.515             crust          = 2.6   x 10^22 kg
 J2  (GEM T2, 1990)       = 0.0010826265      mantle         = 4.043 x 10^24 kg
 gp, m s^-2 (polar)       = 9.8321863685      outer core     = 1.835 x 10^24 kg
 ge, m s^-2 (equatorial)  = 9.7803267715      inner core     = 9.675 x 10^22 kg
 go, m s^-2               = 9.82022         Fluid core rad   = 3480 km
 GM, km^3 s^-2            = 398600.440      Inner core rad   = 1215 km
 Mean rot. rate, rad s^-1 = 7.292115*10^-5  Surface Area:
 Sidereal period, hr      = 23.93419          land           = 1.48 x 10^8 km
 Mean solar day, days     = 1.002738          sea            = 3.62 x 10^8 km
 Moment of inertia        = 0.3308          Love no., k2     = 0.299
 Mean Temperature, K      = 270             Atm. pressure    = 1.0 bar
 Solar constant, W/m^2    = 1367.6          Vis. mag. V(1,0) = -3.86
 Volume, 10^10 km^3       = 108.321         Geometric albedo = 0.367 
DYNAMICAL CHARACTERISTICS:
 Obliquity to orbit, deg  = 23.45           Sidereal period  = 1.0000174  yrs
 Orbit velocity, km s^-1  = 29.7859         Sidereal period  = 365.25636  days
 Mean daily motion, n     = 0.9856474 deg/d Escape velocity  = 11.186 km s^-1
 Hill's sphere radius     = 234.9           Magnetic moment  = 0.61 gauss Rp^3

 NOTES (WK,4/26/18): Earth location data for the Sept 2024 Earth-Mars Transfer
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Apr 26 18:20:22 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460492.500000000, A.D. 2024-Jul-01 00:00:00.0000,  2.360296544025968E+07, -1.506891119786054E+08,  3.774766707955301E+04,  2.892876702322248E+01,  4.695159705994971E+00, -1.599600570752147E-03,
2460493.500000000, A.D. 2024-Jul-02 00:00:00.0000,  2.609892283774227E+07, -1.502622522721467E+08,  3.761410189598054E+04,  2.884658156261505E+01,  5.185699042712160E+00, -1.483308134949457E-03,
2460494.500000000, A.D. 2024-Jul-03 00:00:00.0000,  2.858740419234223E+07, -1.497930536775173E+08,  3.749271972928196E+04,  2.875569831246452E+01,  5.675178877589662E+00, -1.319594703995008E-03,
2460495.500000000, A.D. 2024-Jul-04 00:00:00.0000,  3.106765556322514E+07, -1.492816203349070E+08,  3.738706387759000E+04,  2.865606872073787E+01,  6.163305282318726E+00, -1.121624980172875E-03,
2460496.500000000, A.D. 2024-Jul-05 00:00:00.0000,  3.353892095832678E+07, -1.487280821564950E+08,  3.729946977941692E+04,  2.854769388173957E+01,  6.649778087108379E+00, -9.039759560351968E-04,
2460497.500000000, A.D. 2024-Jul-06 00:00:00.0000,  3.600044655360982E+07, -1.481325947358143E+08,  3.723099976194650E+04,  2.843062203674910E+01,  7.134305246361501E+00, -6.813269084284812E-04,
2460498.500000000, A.D. 2024-Jul-07 00:00:00.0000,  3.845148448044375E+07, -1.474953381049669E+08,  3.718148679618537E+04,  2.830494124641086E+01,  7.616614771592408E+00, -4.672816853434902E-04,
2460499.500000000, A.D. 2024-Jul-08 00:00:00.0000,  4.089129582600250E+07, -1.468165146364808E+08,  3.714966716229171E+04,  2.817076886116838E+01,  8.096462367193677E+00, -2.735146994754523E-04,
2460500.500000000, A.D. 2024-Jul-09 00:00:00.0000,  4.331915267120853E+07, -1.460963465017229E+08,  3.713336878573149E+04,  2.802824019114229E+01,  8.573634058423169E+00, -1.093433813159628E-04,
2460501.500000000, A.D. 2024-Jul-10 00:00:00.0000,  4.573433920026791E+07, -1.453350730997518E+08,  3.712971832016110E+04,  2.787749867613629E+01,  9.047944451931606E+00,  1.829062848557328E-05,
2460502.500000000, A.D. 2024-Jul-11 00:00:00.0000,  4.813615208306365E+07, -1.445329487701814E+08,  3.713533606541157E+04,  2.771868904419711E+01,  9.519232206658698E+00,  1.045452478658504E-04,
2460503.500000000, A.D. 2024-Jul-12 00:00:00.0000,  5.052390041523314E+07, -1.436902409508897E+08,  3.714649982856214E+04,  2.755195390905223E+01,  9.987354564040052E+00,  1.462615895078123E-04,
2460504.500000000, A.D. 2024-Jul-13 00:00:00.0000,  5.289690550101358E+07, -1.428072287899376E+08,  3.715927213981003E+04,  2.737743341690034E+01,  1.045218253219065E+01,  1.415540571017004E-04,
2460505.500000000, A.D. 2024-Jul-14 00:00:00.0000,  5.525450070674456E+07, -1.418842021031637E+08,  3.716959654127061E+04,  2.719526706500231E+01,  1.091359784664732E+01,  8.952002868101161E-05,
2460506.500000000, A.D. 2024-Jul-15 00:00:00.0000,  5.759603152626029E+07, -1.409214604920343E+08,  3.717337684109062E+04,  2.700559659401236E+01,  1.137149237977213E+01, -9.854053787172745E-06,
2460507.500000000, A.D. 2024-Jul-16 00:00:00.0000,  5.992085589889261E+07, -1.399193123943653E+08,  3.716655850937217E+04,  2.680856872664230E+01,  1.182577030896299E+01, -1.555438060671932E-04,
2460508.500000000, A.D. 2024-Jul-17 00:00:00.0000,  6.222834470793851E+07, -1.388780738290113E+08,  3.714523412330449E+04,  2.660433635626628E+01,  1.227635298477336E+01, -3.450796573662984E-04,
2460509.500000000, A.D. 2024-Jul-18 00:00:00.0000,  6.451788225806338E+07, -1.377980666230312E+08,  3.710579423742741E+04,  2.639305659440234E+01,  1.272318587285603E+01, -5.739136360043418E-04,
2460510.500000000, A.D. 2024-Jul-19 00:00:00.0000,  6.678886639022611E+07, -1.366796160013908E+08,  3.704513896063715E+04,  2.617488409629757E+01,  1.316624600943019E+01, -8.346757145947237E-04,
2460511.500000000, A.D. 2024-Jul-20 00:00:00.0000,  6.904070777825883E+07, -1.355230476066981E+08,  3.696095056806505E+04,  2.594995874946062E+01,  1.360554716760149E+01, -1.116554567961003E-03,
2460512.500000000, A.D. 2024-Jul-21 00:00:00.0000,  7.127282794014262E+07, -1.343286843069759E+08,  3.685200195795298E+04,  2.571838859000103E+01,  1.404113893119730E+01, -1.405150946954592E-03,
2460513.500000000, A.D. 2024-Jul-22 00:00:00.0000,  7.348465568840349E+07, -1.330968434777662E+08,  3.671844407998770E+04,  2.548023162029702E+01,  1.447309620702862E+01, -1.683161509077991E-03,
2460514.500000000, A.D. 2024-Jul-23 00:00:00.0000,  7.567562218204851E+07, -1.318278356471086E+08,  3.656199147672951E+04,  2.523548278340245E+01,  1.490149838527435E+01, -1.932050210116998E-03,
2460515.500000000, A.D. 2024-Jul-24 00:00:00.0000,  7.784515531479506E+07, -1.305219652677908E+08,  3.638592806864530E+04,  2.498407250497031E+01,  1.532640198389670E+01, -2.134457660157629E-03,
2460516.500000000, A.D. 2024-Jul-25 00:00:00.0000,  7.999267459737222E+07, -1.291795338589830E+08,  3.619489557823539E+04,  2.472587957255260E+01,  1.574781464058579E+01, -2.276691898042138E-03,
2460517.500000000, A.D. 2024-Jul-26 00:00:00.0000,  8.211758767821866E+07, -1.278008450333200E+08,  3.599449137936532E+04,  2.446075517625140E+01,  1.616567859941895E+01, -2.350535620808891E-03,
2460518.500000000, A.D. 2024-Jul-27 00:00:00.0000,  8.421928915665454E+07, -1.263862103746368E+08,  3.579075815767050E+04,  2.418855051647497E+01,  1.657986771270497E+01, -2.353907447429471E-03,
2460519.500000000, A.D. 2024-Jul-28 00:00:00.0000,  8.629716164905980E+07, -1.249359550337905E+08,  3.558966619892418E+04,  2.390914029211198E+01,  1.699019628149543E+01, -2.290416724402000E-03,
2460520.500000000, A.D. 2024-Jul-29 00:00:00.0000,  8.835057854031423E+07, -1.234504222336265E+08,  3.539666800808907E+04,  2.362243790169826E+01,  1.739643448559235E+01, -2.168216428872327E-03,
2460521.500000000, A.D. 2024-Jul-30 00:00:00.0000,  9.037890767746425E+07, -1.219299763543413E+08,  3.521636505066603E+04,  2.332840231496604E+01,  1.779832506742495E+01, -1.998624500483714E-03,
2460522.500000000, A.D. 2024-Jul-31 00:00:00.0000,  9.238151537782499E+07, -1.203750046483663E+08,  3.505229142654687E+04,  2.302703894375333E+01,  1.819559804594112E+01, -1.794831124422913E-03,
2460523.500000000, A.D. 2024-Aug-01 00:00:00.0000,  9.435777034875505E+07, -1.187859178089795E+08,  3.490680063353479E+04,  2.271839709873939E+01,  1.858798252658304E+01, -1.570811397706429E-03,
2460524.500000000, A.D. 2024-Aug-02 00:00:00.0000,  9.630704730450194E+07, -1.171631496328271E+08,  3.478103744515032E+04,  2.240256570526009E+01,  1.897521597184920E+01, -1.340435876550750E-03,
2460525.500000000, A.D. 2024-Aug-03 00:00:00.0000,  9.822873016416965E+07, -1.155071559692275E+08,  3.467497959762067E+04,  2.207966793918316E+01,  1.935705151522154E+01, -1.116738434662423E-03,
2460526.500000000, A.D. 2024-Aug-04 00:00:00.0000,  1.001222147451391E+08, -1.138184131127944E+08,  3.458753661749512E+04,  2.174985492422244E+01,  1.973326352843861E+01, -9.113265792946024E-04,
2460527.500000000, A.D. 2024-Aug-05 00:00:00.0000,  1.019869108768823E+08, -1.120974157966868E+08,  3.451669277048856E+04,  2.141329867292700E+01,  2.010365124649190E+01, -7.339553925538311E-04,
2460528.500000000, A.D. 2024-Aug-06 00:00:00.0000,  1.038222438897269E+08, -1.103446749675324E+08,  3.445967851517349E+04,  2.107018479508528E+01,  2.046804016127374E+01, -5.922985301625161E-04,
2460529.500000000, A.D. 2024-Aug-07 00:00:00.0000,  1.056276554926307E+08, -1.085607155386582E+08,  3.441315262818336E+04,  2.072070579511989E+01,  2.082628116234034E+01, -4.919292903977635E-04,
2460530.500000000, A.D. 2024-Aug-08 00:00:00.0000,  1.074026041284471E+08, -1.067460743010367E+08,  3.437337771761417E+04,  2.036505580592492E+01,  2.117824785490848E+01, -4.364844601933981E-04,
2460531.500000000, A.D. 2024-Aug-09 00:00:00.0000,  1.091465649584878E+08, -1.049012981159980E+08,  3.433637596262246E+04,  2.000342733622934E+01,  2.152383287966899E+01, -4.279446390045294E-04,
2460532.500000000, A.D. 2024-Aug-10 00:00:00.0000,  1.108590296597821E+08, -1.030269424328570E+08,  3.429805875694752E+04,  1.963601017225627E+01,  2.186294424240010E+01, -4.669424948717804E-04,
2460533.500000000, A.D. 2024-Aug-11 00:00:00.0000,  1.125395062110915E+08, -1.011235700878112E+08,  3.425433181411028E+04,  1.926299213278035E+01,  2.219550262292373E+01, -5.530080324493980E-04,
2460534.500000000, A.D. 2024-Aug-12 00:00:00.0000,  1.141875188014900E+08, -9.919175026378340E+07,  3.420118472196907E+04,  1.888456101498138E+01,  2.252144045318258E+01, -6.846714375399188E-04,
2460535.500000000, A.D. 2024-Aug-13 00:00:00.0000,  1.158026079250018E+08, -9.723205743286322E+07,  3.413478003958613E+04,  1.850090677179507E+01,  2.284070330991772E+01, -8.593624535357947E-04,
2460536.500000000, A.D. 2024-Aug-14 00:00:00.0000,  1.173843306292199E+08, -9.524507006870012E+07,  3.405156129019707E+04,  1.811222266190178E+01,  2.315325385184734E+01, -1.073070346324201E-03,
2460537.500000000, A.D. 2024-Aug-15 00:00:00.0000,  1.189322607628344E+08, -9.323136891624016E+07,  3.394840066519380E+04,  1.771870378344702E+01,  2.345907802282288E+01, -1.319770923160490E-03,
2460538.500000000, A.D. 2024-Aug-16 00:00:00.0000,  1.204459889182027E+08, -9.119153466560374E+07,  3.382280361888185E+04,  1.732054117878442E+01,  2.375819234321812E+01, -1.590706110230045E-03,
2460539.500000000, A.D. 2024-Aug-17 00:00:00.0000,  1.219251216155253E+08, -8.912614503587748E+07,  3.367317488115281E+04,  1.691791000030206E+01,  2.405064971024991E+01, -1.873732008814244E-03,
2460540.500000000, A.D. 2024-Aug-18 00:00:00.0000,  1.233692791986244E+08, -8.703577156737770E+07,  3.349912481720001E+04,  1.651095173378408E+01,  2.433653954569448E+01, -2.153111664588536E-03,
2460541.500000000, A.D. 2024-Aug-19 00:00:00.0000,  1.247780920374887E+08, -8.492097682011804E+07,  3.330175754891708E+04,  1.609975364859633E+01,  2.461597751822933E+01, -2.410220086309423E-03,
