
                  objname     vdis        vlg       vgsr        v3k  

  AQUARIUS2                        5.40         96         41       -422  
  NGC4421                         91.31       1459       1506       1874  
  NGC5300                         19.73       1087       1138       1453  
  NGC4483                         99.99        764        819       1218  
  NGC5904                          5.70         39         74        224  
  NGC6254                          6.60        128        142        102  
  NGC6284                          6.20          1         33         59  
  NGC6342                          4.60         88        110         81  
  NGC0362                          7.98         48         85        159  
  NGC6626                          8.60         45         56        -69  
  NGC6809                          4.90        213        213          8  
  NGC3201                          3.82        188        277        781  
  NGC4147                          2.60         96        140        506  
  NGC6341                          5.90        101         62       -158  
  NGC1851                         10.40        107        142        353  
  NGC6838                          2.30        232        175       -263  
  NGC6715                         14.20        161        171         26  
  NGC6681                          8.28        223        237        121  
  NGC6624                          8.49         56         73        -22  
  NGC7089                          8.20        205        146       -339  
  NGC6712                          4.30         14         -1       -257  
  NGC7078                         12.08        150         80       -441  
  NGC1904                          5.20         27         50        244  
  NGC6218                          4.50          8         23         -4  
  NGC6779                          4.00        130         73       -323  
  FCOS1-060                       23.20        921        930        962  
  NGC4200                         73.39       2227       2280       2678  
  NGC4264                        116.70       2372       2432       2856  
  NGC4268                        154.17       1870       1930       2358  
  NGC4259                        130.90       2333       2393       2821  
  NGC4417                        134.94        697        752       1152  
  NGC4488                         57.82        858        914       1316  
  NGC4489                         57.07        856        901       1258  
  IC3487                          28.90        959       1014       1407  
  IC3633                          22.30       1863       1917       2300  
  NGC4598                         93.19       1844       1899       2290  
  ESO126-017                     206.31       2672       2754       3172  
  NGC6920                        230.95       2439       2490       2625  
  ESO027-021                     136.62       2288       2335       2457  
  NGC4440                        117.78        619        670       1055  
  NGC4503                        138.53       1244       1297       1683  
  IC3631                          35.56       2709       2758       3126  
  NGC4623                         76.99       1670       1726       2118  
  NGC4624                        137.20        760        821       1230  
  NGC4690                         97.95       2641       2707       3130  
  NGC0063                         70.81       1371       1293        808  
  NGC0274                        108.23       1843       1787       1403  
  ESO351-030                       6.84         95         76       -138  
  [RC2]A0113+33                    7.48         41        -43       -479  
  NGC0514                         54.42       2640       2568       2161  
  NGC0586                        103.40       2020       1969       1641  
  NGC0676                        147.65       1630       1568       1219  
  PGC007045                      105.32       1476       1438       1181  
  NGC0770                        101.84       2606       2534       2170  
  NGC0779                        109.87       1456       1408       1122  
  IC0225                          20.26       1611       1561       1294  
  PGC009892                      187.26        297        221        -88  
  ESO545-040                      70.39       1460       1438       1288  
  NGC1073                         24.72       1267       1220        986  
  NGC1079                        148.52       1386       1376       1281  
  NGC1172                        111.28       1509       1485       1354  
  NGC1248                         84.65       2240       2208       2058  
  NGC1184                        217.54       2576       2510       2270  
  NGC1297                        107.06       1522       1507       1429  
  NGC1302                        148.22       1622       1616       1572  
  NGC1315                         55.95       1542       1530       1471  
